industry_code,industry_name,stock_code,company_name,stock_exchange,short_name
BK0427,公用事业,000692,沈阳惠天热电股份有限公司,sz,惠天热电
BK0427,公用事业,000593,四川大通燃气开发股份有限公司,sz,大通燃气
BK0427,公用事业,601139,深圳市燃气集团股份有限公司,sh,深圳燃气
BK0427,公用事业,603053,成都燃气集团股份有限公司,sh,成都燃气
BK0427,公用事业,600635,上海大众公用事业(集团)股份有限公司,sh,大众公用
BK0427,公用事业,000421,南京公用发展股份有限公司,sz,南京公用
BK0427,公用事业,000544,中原环保股份有限公司,sz,中原环保
BK0427,公用事业,002267,陕西省天然气股份有限公司,sz,陕天然气
BK0427,公用事业,600681,百川能源股份有限公司,sh,百川能源
BK0427,公用事业,600461,江西洪城水业股份有限公司,sh,洪城水业
BK0427,公用事业,603689,安徽省天然气开发股份有限公司,sh,皖天然气
BK0427,公用事业,603706,新疆东方环宇燃气股份有限公司,sh,东方环宇
BK0427,公用事业,603080,新疆火炬燃气股份有限公司,sh,新疆火炬
BK0427,公用事业,002700,新疆浩源天然气股份有限公司,sz,ST浩源
BK0427,公用事业,002911,佛燃能源集团股份有限公司,sz,佛燃能源
BK0427,公用事业,600956,新天绿色能源股份有限公司,sh,新天绿能
BK0427,公用事业,000809,铁岭新城投资控股(集团)股份有限公司,sz,铁岭新城
BK0427,公用事业,600917,重庆燃气集团股份有限公司,sh,重庆燃气
BK0427,公用事业,600283,钱江水利开发股份有限公司,sh,钱江水利
BK0427,公用事业,002259,四川升达林业产业股份有限公司,sz,*ST升达
BK0427,公用事业,600168,武汉三镇实业控股股份有限公司,sh,武汉控股
BK0427,公用事业,600187,黑龙江国中水务股份有限公司,sh,国中水务
BK0427,公用事业,601368,广西绿城水务股份有限公司,sh,绿城水务
BK0427,公用事业,000605,渤海水业股份有限公司,sz,渤海股份
BK0427,公用事业,601158,重庆水务集团股份有限公司,sh,重庆水务
BK0427,公用事业,900913,山西省国新能源股份有限公司,sh,国新B股
BK0427,公用事业,601199,江苏江南水务股份有限公司,sh,江南水务
BK0427,公用事业,300815,玉禾田环境发展集团股份有限公司,sz,玉禾田
BK0427,公用事业,000669,金鸿控股集团股份有限公司,sz,*ST金鸿
BK0427,公用事业,600617,山西省国新能源股份有限公司,sh,国新能源
BK0427,公用事业,000685,中山公用事业集团股份有限公司,sz,中山公用
BK0427,公用事业,002893,北京华远意通热力科技股份有限公司,sz,华通热力
BK0427,公用事业,000598,成都市兴蓉环境股份有限公司,sz,兴蓉环境
BK0427,公用事业,002973,侨银环保科技股份有限公司,sz,侨银环保
BK0427,公用事业,600874,天津创业环保集团股份有限公司,sh,创业环保
BK0427,公用事业,603393,新疆鑫泰天然气股份有限公司,sh,新天然气
BK0427,公用事业,600008,北京首创股份有限公司,sh,首创股份
BK0427,公用事业,600903,贵州燃气集团股份有限公司,sh,贵州燃气
BK0427,公用事业,600323,瀚蓝环境股份有限公司,sh,瀚蓝环境
BK0427,公用事业,600333,长春燃气股份有限公司,sh,长春燃气
BK0437,煤炭采选,000983,山西西山煤电股份有限公司,sz,西山煤电
BK0437,煤炭采选,601088,中国神华能源股份有限公司,sh,中国神华
BK0437,煤炭采选,002128,内蒙古霍林河露天煤业股份有限公司,sz,露天煤业
BK0437,煤炭采选,600395,贵州盘江精煤股份有限公司,sh,盘江股份
BK0437,煤炭采选,601699,山西潞安环保能源开发股份有限公司,sh,潞安环能
BK0437,煤炭采选,000937,冀中能源股份有限公司,sz,冀中能源
BK0437,煤炭采选,600348,阳泉煤业(集团)股份有限公司,sh,阳泉煤业
BK0437,煤炭采选,601001,大同煤业股份有限公司,sh,大同煤业
BK0437,煤炭采选,600971,安徽恒源煤电股份有限公司,sh,恒源煤电
BK0437,煤炭采选,600508,上海大屯能源股份有限公司,sh,上海能源
BK0437,煤炭采选,600740,山西焦化股份有限公司,sh,山西焦化
BK0437,煤炭采选,600758,辽宁能源煤电产业股份有限公司,sh,辽宁能源
BK0437,煤炭采选,600997,开滦能源化工股份有限公司,sh,开滦股份
BK0437,煤炭采选,603113,金能科技股份有限公司,sh,金能科技
BK0437,煤炭采选,601011,宝泰隆新材料股份有限公司,sh,宝泰隆
BK0437,煤炭采选,601015,陕西黑猫焦化股份有限公司,sh,陕西黑猫
BK0437,煤炭采选,600123,山西兰花科技创业股份有限公司,sh,兰花科创
BK0437,煤炭采选,600792,云南煤业能源股份有限公司,sh,云煤能源
BK0437,煤炭采选,000571,新大洲控股股份有限公司,sz,*ST大洲
BK0437,煤炭采选,000552,甘肃靖远煤电股份有限公司,sz,靖远煤电
BK0437,煤炭采选,601666,平顶山天安煤业股份有限公司,sh,平煤股份
BK0437,煤炭采选,600188,兖州煤业股份有限公司,sh,兖州煤业
BK0437,煤炭采选,601101,北京昊华能源股份有限公司,sh,昊华能源
BK0437,煤炭采选,600408,山西安泰集团股份有限公司,sh,ST安泰
BK0437,煤炭采选,000780,内蒙古平庄能源股份有限公司,sz,*ST平能
BK0437,煤炭采选,000611,内蒙古天首科技发展股份有限公司,sz,ST天首
BK0437,煤炭采选,900948,内蒙古伊泰煤炭股份有限公司,sh,伊泰Ｂ股
BK0437,煤炭采选,600403,河南大有能源股份有限公司,sh,大有能源
BK0437,煤炭采选,600546,山煤国际能源集团股份有限公司,sh,山煤国际
BK0437,煤炭采选,601918,中煤新集能源股份有限公司,sh,新集能源
BK0437,煤炭采选,601898,中国中煤能源股份有限公司,sh,中煤能源
BK0437,煤炭采选,600121,郑州煤电股份有限公司,sh,郑州煤电
BK0437,煤炭采选,600985,淮北矿业控股股份有限公司,sh,淮北矿业
BK0437,煤炭采选,600397,安源煤业集团股份有限公司,sh,安源煤业
BK0437,煤炭采选,601225,陕西煤业股份有限公司,sh,陕西煤业
BK0437,煤炭采选,000723,山西美锦能源股份有限公司,sz,美锦能源
BK0475,银行,601398,中国工商银行股份有限公司,sh,工商银行
BK0475,银行,600036,招商银行股份有限公司,sh,招商银行
BK0475,银行,601166,兴业银行股份有限公司,sh,兴业银行
BK0475,银行,000001,平安银行股份有限公司,sz,平安银行
BK0475,银行,601939,中国建设银行股份有限公司,sh,建设银行
BK0475,银行,601818,中国光大银行股份有限公司,sh,光大银行
BK0475,银行,601288,中国农业银行股份有限公司,sh,农业银行
BK0475,银行,601658,中国邮政储蓄银行股份有限公司,sh,邮储银行
BK0475,银行,002142,宁波银行股份有限公司,sz,宁波银行
BK0475,银行,601838,成都银行股份有限公司,sh,成都银行
BK0475,银行,601009,南京银行股份有限公司,sh,南京银行
BK0475,银行,601128,江苏常熟农村商业银行股份有限公司,sh,常熟银行
BK0475,银行,601988,中国银行股份有限公司,sh,中国银行
BK0475,银行,600926,杭州银行股份有限公司,sh,杭州银行
BK0475,银行,601169,北京银行股份有限公司,sh,北京银行
BK0475,银行,601998,中信银行股份有限公司,sh,中信银行
BK0475,银行,601997,贵阳银行股份有限公司,sh,贵阳银行
BK0475,银行,601328,交通银行股份有限公司,sh,交通银行
BK0475,银行,600000,上海浦东发展银行股份有限公司,sh,浦发银行
BK0475,银行,600016,中国民生银行股份有限公司,sh,民生银行
BK0475,银行,600908,无锡农村商业银行股份有限公司,sh,无锡银行
BK0475,银行,601077,重庆农村商业银行股份有限公司,sh,渝农商行
BK0475,银行,601229,上海银行股份有限公司,sh,上海银行
BK0475,银行,601916,浙商银行股份有限公司,sh,浙商银行
BK0475,银行,601577,长沙银行股份有限公司,sh,长沙银行
BK0475,银行,603323,江苏苏州农村商业银行股份有限公司,sh,苏农银行
BK0475,银行,002936,郑州银行股份有限公司,sz,郑州银行
BK0475,银行,600928,西安银行股份有限公司,sh,西安银行
BK0475,银行,601860,江苏紫金农村商业银行股份有限公司,sh,紫金银行
BK0475,银行,002966,苏州银行股份有限公司,sz,苏州银行
BK0475,银行,002807,江苏江阴农村商业银行股份有限公司,sz,江阴银行
BK0475,银行,601187,厦门银行股份有限公司,sh,厦门银行
BK0475,银行,600015,华夏银行股份有限公司,sh,华夏银行
BK0475,银行,002839,江苏张家港农村商业银行股份有限公司,sz,张家港行
BK0475,银行,002948,青岛银行股份有限公司,sz,青岛银行
BK0475,银行,002958,青岛农村商业银行股份有限公司,sz,青农商行
BK0475,银行,600919,江苏银行股份有限公司,sh,江苏银行
BK0465,医药制造,300147,广州市香雪制药股份有限公司,sz,香雪制药
BK0465,医药制造,600332,广州白云山医药集团股份有限公司,sh,白云山
BK0465,医药制造,002030,中山大学达安基因股份有限公司,sz,达安基因
BK0465,医药制造,300122,重庆智飞生物制品股份有限公司,sz,智飞生物
BK0465,医药制造,688185,康希诺生物股份公司,sh,康希诺-U
BK0465,医药制造,300519,浙江新光药业股份有限公司,sz,新光药业
BK0465,医药制造,000411,浙江英特集团股份有限公司,sz,英特集团
BK0465,医药制造,605116,奥锐特药业股份有限公司,sh,奥锐特
BK0465,医药制造,600511,国药集团药业股份有限公司,sh,国药股份
BK0465,医药制造,002603,石家庄以岭药业股份有限公司,sz,以岭药业
BK0465,医药制造,600789,山东鲁抗医药股份有限公司,sh,鲁抗医药
BK0465,医药制造,002644,兰州佛慈制药股份有限公司,sz,佛慈制药
BK0465,医药制造,300181,浙江佐力药业股份有限公司,sz,佐力药业
BK0465,医药制造,300194,福安药业(集团)股份有限公司,sz,福安药业
BK0465,医药制造,000999,华润三九医药股份有限公司,sz,华润三九
BK0465,医药制造,600196,上海复星医药(集团)股份有限公司,sh,复星医药
BK0465,医药制造,603880,江苏南方卫材医药股份有限公司,sh,南卫股份
BK0465,医药制造,000650,仁和药业股份有限公司,sz,仁和药业
BK0465,医药制造,600216,浙江医药股份有限公司,sh,浙江医药
BK0465,医药制造,601607,上海医药集团股份有限公司,sh,上海医药
BK0465,医药制造,300026,天津红日药业股份有限公司,sz,红日药业
BK0465,医药制造,300878,浙江维康药业股份有限公司,sz,维康药业
BK0465,医药制造,002581,山东未名生物医药股份有限公司,sz,未名医药
BK0465,医药制造,300871,武汉回盛生物科技股份有限公司,sz,回盛生物
BK0465,医药制造,000513,丽珠医药集团股份有限公司,sz,丽珠集团
BK0465,医药制造,300108,吉药控股集团股份有限公司,sz,吉药控股
BK0465,医药制造,300723,一品红药业股份有限公司,sz,一品红
BK0465,医药制造,605199,海南葫芦娃药业集团股份有限公司,sh,葫芦娃
BK0465,医药制造,000963,华东医药股份有限公司,sz,华东医药
BK0465,医药制造,002737,葵花药业集团股份有限公司,sz,葵花药业
BK0465,医药制造,300813,浙江泰林生物技术股份有限公司,sz,泰林生物
BK0465,医药制造,300255,河北常山生化药业股份有限公司,sz,常山药业
BK0465,医药制造,300558,贝达药业股份有限公司,sz,贝达药业
BK0465,医药制造,300049,内蒙古福瑞医疗科技股份有限公司,sz,福瑞股份
BK0465,医药制造,688526,武汉科前生物股份有限公司,sh,科前生物
BK0465,医药制造,002166,桂林莱茵生物科技股份有限公司,sz,莱茵生物
BK0465,医药制造,600285,河南羚锐制药股份有限公司,sh,羚锐制药
BK0465,医药制造,603087,甘李药业股份有限公司,sh,甘李药业
BK0465,医药制造,300158,山西振东制药股份有限公司,sz,振东制药
BK0465,医药制造,603439,贵州三力制药股份有限公司,sh,贵州三力
BK0465,医药制造,002099,浙江海翔药业股份有限公司,sz,海翔药业
BK0465,医药制造,600267,浙江海正药业股份有限公司,sh,海正药业
BK0465,医药制造,300485,北京赛升药业股份有限公司,sz,赛升药业
BK0465,医药制造,603222,济民健康管理股份有限公司,sh,济民制药
BK0465,医药制造,002287,西藏奇正藏药股份有限公司,sz,奇正藏药
BK0465,医药制造,688189,湖南南新制药股份有限公司,sh,南新制药
BK0465,医药制造,000028,国药集团一致药业股份有限公司,sz,国药一致
BK0465,医药制造,600422,昆药集团股份有限公司,sh,昆药集团
BK0465,医药制造,300086,康芝药业股份有限公司,sz,康芝药业
BK0465,医药制造,300636,江西同和药业股份有限公司,sz,同和药业
BK0465,医药制造,600351,亚宝药业集团股份有限公司,sh,亚宝药业
BK0465,医药制造,600420,上海现代制药股份有限公司,sh,现代制药
BK0465,医药制造,300199,深圳翰宇药业股份有限公司,sz,翰宇药业
BK0465,医药制造,002198,广东嘉应制药股份有限公司,sz,嘉应制药
BK0465,医药制造,600750,江中药业股份有限公司,sh,江中药业
BK0465,医药制造,600085,北京同仁堂股份有限公司,sh,同仁堂
BK0465,医药制造,300642,上海透景生命科技股份有限公司,sz,透景生命
BK0465,医药制造,603229,浙江奥翔药业股份有限公司,sh,奥翔药业
BK0465,医药制造,600535,天士力医药集团股份有限公司,sh,天士力
BK0465,医药制造,002755,北京奥赛康药业股份有限公司,sz,奥赛康
BK0465,医药制造,002873,贵阳新天药业股份有限公司,sz,新天药业
BK0465,医药制造,000766,通化金马药业集团股份有限公司,sz,通化金马
BK0465,医药制造,300584,南京海辰药业股份有限公司,sz,海辰药业
BK0465,医药制造,300702,浙江天宇药业股份有限公司,sz,天宇股份
BK0465,医药制造,000078,深圳市海王生物工程股份有限公司,sz,海王生物
BK0465,医药制造,300434,四川金石亚洲医药股份有限公司,sz,金石亚药
BK0465,医药制造,600200,江苏吴中实业股份有限公司,sh,江苏吴中
BK0465,医药制造,002817,安徽黄山胶囊股份有限公司,sz,黄山胶囊
BK0465,医药制造,300204,舒泰神(北京)生物制药股份有限公司,sz,舒泰神
BK0465,医药制造,600613,上海神奇制药投资管理股份有限公司,sh,神奇制药
BK0465,医药制造,000790,成都华神科技集团股份有限公司,sz,华神科技
BK0465,医药制造,300404,广州博济医药生物技术股份有限公司,sz,博济医药
BK0465,医药制造,600781,辅仁药业集团制药股份有限公司,sh,*ST辅仁
BK0465,医药制造,000788,北大医药股份有限公司,sz,北大医药
BK0465,医药制造,300583,山东赛托生物科技股份有限公司,sz,赛托生物
BK0465,医药制造,603168,浙江莎普爱思药业股份有限公司,sh,莎普爱思
BK0465,医药制造,600594,贵州益佰制药股份有限公司,sh,益佰制药
BK0465,医药制造,002562,兄弟科技股份有限公司,sz,兄弟科技
BK0465,医药制造,688488,江苏艾迪药业股份有限公司,sh,艾迪药业
BK0465,医药制造,600771,广誉远中药股份有限公司,sh,广誉远
BK0465,医药制造,002864,陕西盘龙药业集团股份有限公司,sz,盘龙药业
BK0465,医药制造,000756,山东新华制药股份有限公司,sz,新华制药
BK0465,医药制造,002262,江苏恩华药业股份有限公司,sz,恩华药业
BK0465,医药制造,002758,浙江华通医药股份有限公司,sz,华通医药
BK0465,医药制造,688566,江苏吉贝尔药业股份有限公司,sh,吉贝尔
BK0465,医药制造,002923,珠海润都制药股份有限公司,sz,润都股份
BK0465,医药制造,000597,东北制药集团股份有限公司,sz,东北制药
BK0465,医药制造,603108,上海润达医疗科技股份有限公司,sh,润达医疗
BK0465,医药制造,002750,昆明龙津药业股份有限公司,sz,龙津药业
BK0465,医药制造,600998,九州通医药集团股份有限公司,sh,九州通
BK0465,医药制造,603811,浙江诚意药业股份有限公司,sh,诚意药业
BK0465,医药制造,000153,安徽丰原药业股份有限公司,sz,丰原药业
BK0465,医药制造,603676,西藏卫信康医药股份有限公司,sh,卫信康
BK0465,医药制造,000813,德展大健康股份有限公司,sz,德展健康
BK0465,医药制造,600479,株洲千金药业股份有限公司,sh,千金药业
BK0465,医药制造,000705,浙江震元股份有限公司,sz,浙江震元
BK0465,医药制造,002435,长江润发健康产业股份有限公司,sz,长江健康
BK0465,医药制造,603567,黑龙江珍宝岛药业股份有限公司,sh,珍宝岛
BK0465,医药制造,000538,云南白药集团股份有限公司,sz,云南白药
BK0465,医药制造,603998,湖南方盛制药股份有限公司,sh,方盛制药
BK0465,医药制造,600833,上海第一医药股份有限公司,sh,第一医药
BK0465,医药制造,002693,海南双成药业股份有限公司,sz,双成药业
BK0465,医药制造,600222,河南太龙药业股份有限公司,sh,太龙药业
BK0465,医药制造,600385,山东金泰集团股份有限公司,sh,ST金泰
BK0465,医药制造,002826,西藏易明西雅医药科技股份有限公司,sz,易明医药
BK0465,医药制造,002566,吉林省集安益盛药业股份有限公司,sz,益盛药业
BK0465,医药制造,300254,山西仟源医药集团股份有限公司,sz,仟源医药
BK0465,医药制造,000590,启迪古汉集团股份有限公司,sz,启迪古汉
BK0465,医药制造,600080,金花企业(集团)股份有限公司,sh,ST金花
BK0465,医药制造,603351,南京威尔药业集团股份有限公司,sh,威尔药业
BK0465,医药制造,002424,贵州百灵企业集团制药股份有限公司,sz,贵州百灵
BK0465,医药制造,002437,哈尔滨誉衡药业股份有限公司,sz,誉衡药业
BK0465,医药制造,002102,冠福控股股份有限公司,sz,ST冠福
BK0465,医药制造,600530,上海交大昂立股份有限公司,sh,*ST交昂
BK0465,医药制造,002907,重庆华森制药股份有限公司,sz,华森制药
BK0465,医药制造,900917,上海海欣集团股份有限公司,sh,海欣Ｂ股
BK0465,医药制造,900904,上海神奇制药投资管理股份有限公司,sh,神奇B股
BK0465,医药制造,688221,前沿生物药业(南京)股份有限公司,sh,前沿生物
BK0465,医药制造,600607,上海实业医药投资股份有限公司,sh,上实医药
BK0465,医药制造,600253,河南天方药业股份有限公司,sh,天方药业
BK0465,医药制造,300186,广东大华农动物保健品股份有限公司,sz,大华农
BK0465,医药制造,200028,国药集团一致药业股份有限公司,sz,一致Ｂ
BK0465,医药制造,002680,长生生物科技股份有限公司,sz,长生退
BK0465,医药制造,000522,广州白云山制药股份有限公司,sz,白云山A
BK0465,医药制造,000504,南华生物医药股份有限公司,sz,ST生物
BK0465,医药制造,002433,广东太安堂药业股份有限公司,sz,太安堂
BK0465,医药制造,600488,天津天药药业股份有限公司,sh,天药股份
BK0465,医药制造,002900,哈尔滨三联药业股份有限公司,sz,哈三联
BK0465,医药制造,603963,大理药业股份有限公司,sh,大理药业
BK0465,医药制造,603367,辰欣药业股份有限公司,sh,辰欣药业
BK0465,医药制造,002422,四川科伦药业股份有限公司,sz,科伦药业
BK0465,医药制造,600671,杭州天目山药业股份有限公司,sh,*ST目药
BK0465,医药制造,002898,珠海赛隆药业股份有限公司,sz,赛隆药业
BK0465,医药制造,600976,健民药业集团股份有限公司,sh,健民集团
BK0465,医药制造,600513,江苏联环药业股份有限公司,sh,联环药业
BK0465,医药制造,002653,海思科医药集团股份有限公司,sz,海思科
BK0465,医药制造,603139,陕西康惠制药股份有限公司,sh,康惠制药
BK0465,医药制造,600252,广西梧州中恒集团股份有限公司,sh,中恒集团
BK0465,医药制造,603456,浙江九洲药业股份有限公司,sh,九洲药业
BK0465,医药制造,000566,海南海药股份有限公司,sz,海南海药
BK0465,医药制造,002462,嘉事堂药业股份有限公司,sz,嘉事堂
BK0465,医药制造,002219,恒康医疗集团股份有限公司,sz,*ST恒康
BK0465,医药制造,603858,山东步长制药股份有限公司,sh,步长制药
BK0465,医药制造,600129,重庆太极实业(集团)股份有限公司,sh,太极集团
BK0465,医药制造,600851,上海海欣集团股份有限公司,sh,海欣股份
BK0465,医药制造,002038,北京双鹭药业股份有限公司,sz,双鹭药业
BK0465,医药制造,000919,金陵药业股份有限公司,sz,金陵药业
BK0465,医药制造,300841,成都康华生物制品股份有限公司,sz,康华生物
BK0465,医药制造,002728,特一药业集团股份有限公司,sz,特一药业
BK0465,医药制造,002773,成都康弘药业集团股份有限公司,sz,康弘药业
BK0465,医药制造,300436,福建广生堂药业股份有限公司,sz,广生堂
BK0465,医药制造,300705,湖南九典制药股份有限公司,sz,九典制药
BK0465,医药制造,002275,桂林三金药业股份有限公司,sz,桂林三金
BK0465,医药制造,002020,浙江京新药业股份有限公司,sz,京新药业
BK0465,医药制造,002393,天津力生制药股份有限公司,sz,力生制药
BK0465,医药制造,600079,人福医药集团股份公司,sh,人福医药
BK0465,医药制造,600713,南京医药股份有限公司,sh,南京医药
BK0465,医药制造,000989,九芝堂股份有限公司,sz,九 芝 堂
BK0465,医药制造,300381,广东溢多利生物科技股份有限公司,sz,溢多利
BK0465,医药制造,300289,北京利德曼生化股份有限公司,sz,利德曼
BK0465,医药制造,688505,上海复旦张江生物医药股份有限公司,sh,复旦张江
BK0465,医药制造,002349,精华制药集团股份有限公司,sz,精华制药
BK0465,医药制造,300630,海南普利制药股份有限公司,sz,普利制药
BK0465,医药制造,688336,三生国健药业(上海)股份有限公司,sh,三生国健
BK0465,医药制造,688278,厦门特宝生物工程股份有限公司,sh,特宝生物
BK0465,医药制造,300111,浙江向日葵大健康科技股份有限公司,sz,向日葵
BK0465,医药制造,002412,湖南汉森制药股份有限公司,sz,汉森制药
BK0465,医药制造,300039,上海凯宝药业股份有限公司,sz,上海凯宝
BK0465,医药制造,002872,天圣制药集团股份有限公司,sz,ST天圣
BK0465,医药制造,603079,浙江圣达生物药业股份有限公司,sh,圣达生物
BK0465,医药制造,002675,烟台东诚药业集团股份有限公司,sz,东诚药业
BK0465,医药制造,300452,安徽山河药用辅料股份有限公司,sz,山河药辅
BK0465,医药制造,000534,万泽实业股份有限公司,sz,万泽股份
BK0465,医药制造,603939,益丰大药房连锁股份有限公司,sh,益丰药房
BK0465,医药制造,603590,北京康辰药业股份有限公司,sh,康辰药业
BK0465,医药制造,688202,上海美迪西生物医药股份有限公司,sh,美迪西
BK0465,医药制造,300534,甘肃陇神戎发药业股份有限公司,sz,陇神戎发
BK0465,医药制造,603538,宁波美诺华药业股份有限公司,sh,美诺华
BK0465,医药制造,688363,华熙生物科技股份有限公司,sh,华熙生物
BK0465,医药制造,002880,深圳市卫光生物制品股份有限公司,sz,卫光生物
BK0465,医药制造,000403,南方双林生物制药股份有限公司,sz,双林生物
BK0465,医药制造,603896,浙江寿仙谷医药股份有限公司,sh,寿仙谷
BK0465,医药制造,600572,浙江康恩贝制药股份有限公司,sh,康恩贝
BK0465,医药制造,600664,哈药集团股份有限公司,sh,哈药股份
BK0465,医药制造,002793,罗欣药业集团股份有限公司,sz,罗欣药业
BK0465,医药制造,688166,博瑞生物医药(苏州)股份有限公司,sh,博瑞医药
BK0465,医药制造,002022,上海科华生物工程股份有限公司,sz,科华生物
BK0465,医药制造,300267,湖南尔康制药股份有限公司,sz,尔康制药
BK0465,医药制造,300639,广东凯普生物科技股份有限公司,sz,凯普生物
BK0465,医药制造,600557,江苏康缘药业股份有限公司,sh,康缘药业
BK0465,医药制造,600673,广东东阳光科技控股股份有限公司,sh,东阳光
BK0465,医药制造,002399,深圳市海普瑞药业集团股份有限公司,sz,海普瑞
BK0465,医药制造,688520,北京神州细胞生物技术集团股份公司,sh,神州细胞-U
BK0465,医药制造,002390,贵州信邦制药股份有限公司,sz,信邦制药
BK0465,医药制造,300347,杭州泰格医药科技股份有限公司,sz,泰格医药
BK0465,医药制造,000931,北京中关村科技发展(控股)股份有限公司,sz,中 关 村
BK0465,医药制造,000915,山东山大华特科技股份有限公司,sz,山大华特
BK0465,医药制造,603392,北京万泰生物药业股份有限公司,sh,万泰生物
BK0465,医药制造,002940,浙江昂利康制药股份有限公司,sz,昂利康
BK0465,医药制造,603669,灵康药业集团股份有限公司,sh,灵康药业
BK0465,医药制造,688513,成都苑东生物制药股份有限公司,sh,苑东生物
BK0465,医药制造,603883,老百姓大药房连锁股份有限公司,sh,老百姓
BK0465,医药制造,002370,浙江亚太药业股份有限公司,sz,亚太药业
BK0465,医药制造,002589,瑞康医药集团股份有限公司,sz,瑞康医药
BK0465,医药制造,300357,浙江我武生物科技股份有限公司,sz,我武生物
BK0465,医药制造,600867,通化东宝药业股份有限公司,sh,通化东宝
BK0465,医药制造,300406,北京九强生物技术股份有限公司,sz,九强生物
BK0465,医药制造,000908,湖南景峰医药股份有限公司,sz,景峰医药
BK0465,医药制造,000623,吉林敖东药业集团股份有限公司,sz,吉林敖东
BK0465,医药制造,688177,百奥泰生物制药股份有限公司,sh,百奥泰-U
BK0465,医药制造,600056,中国医药健康产业股份有限公司,sh,中国医药
BK0465,医药制造,000952,湖北广济药业股份有限公司,sz,广济药业
BK0465,医药制造,300006,重庆莱美药业股份有限公司,sz,莱美药业
BK0465,医药制造,002317,广东众生药业股份有限公司,sz,众生药业
BK0465,医药制造,002727,一心堂药业集团股份有限公司,sz,一心堂
BK0465,医药制造,002252,上海莱士血液制品股份有限公司,sz,上海莱士
BK0465,医药制造,300233,山东金城医药集团股份有限公司,sz,金城医药
BK0465,医药制造,000518,江苏四环生物股份有限公司,sz,四环生物
BK0465,医药制造,300683,武汉海特生物制药股份有限公司,sz,海特生物
BK0465,医药制造,002107,山东沃华医药科技股份有限公司,sz,沃华医药
BK0465,医药制造,600812,华北制药股份有限公司,sh,华北制药
BK0465,医药制造,600993,马应龙药业集团股份有限公司,sh,马应龙
BK0465,医药制造,300497,江西富祥药业股份有限公司,sz,富祥药业
BK0465,医药制造,600329,天津中新药业集团股份有限公司,sh,中新药业
BK0465,医药制造,600062,华润双鹤药业股份有限公司,sh,华润双鹤
BK0465,医药制造,600645,中源协和细胞基因工程股份有限公司,sh,中源协和
BK0465,医药制造,688366,上海昊海生物科技股份有限公司,sh,昊海生科
BK0465,医药制造,600566,湖北济川药业股份有限公司,sh,济川药业
BK0465,医药制造,002411,延安必康制药股份有限公司,sz,延安必康
BK0465,医药制造,300110,华仁药业股份有限公司,sz,华仁药业
BK0465,医药制造,002118,吉林紫鑫药业股份有限公司,sz,紫鑫药业
BK0465,医药制造,300573,沈阳兴齐眼药股份有限公司,sz,兴齐眼药
BK0465,医药制造,603658,郑州安图生物工程股份有限公司,sh,安图生物
BK0465,医药制造,603520,浙江司太立制药股份有限公司,sh,司太立
BK0465,医药制造,688321,深圳微芯生物科技股份有限公司,sh,微芯生物
BK0465,医药制造,603368,广西柳州医药股份有限公司,sh,柳药股份
BK0465,医药制造,000423,东阿阿胶股份有限公司,sz,东阿阿胶
BK0465,医药制造,002365,潜江永安药业股份有限公司,sz,永安药业
BK0465,医药制造,300759,康龙化成(北京)新药技术股份有限公司,sz,康龙化成
BK0465,医药制造,603707,南京健友生化制药股份有限公司,sh,健友股份
BK0465,医药制造,300685,厦门艾德生物医药科技股份有限公司,sz,艾德生物
BK0465,医药制造,300294,博雅生物制药集团股份有限公司,sz,博雅生物
BK0465,医药制造,300363,重庆博腾制药科技股份有限公司,sz,博腾股份
BK0465,医药制造,300482,广州万孚生物技术股份有限公司,sz,万孚生物
BK0465,医药制造,300239,包头东宝生物技术股份有限公司,sz,东宝生物
BK0465,医药制造,300244,迪安诊断技术集团股份有限公司,sz,迪安诊断
BK0465,医药制造,600161,北京天坛生物制品股份有限公司,sh,天坛生物
BK0465,医药制造,002001,浙江新和成股份有限公司,sz,新 和 成
BK0465,医药制造,600380,健康元药业集团股份有限公司,sh,健康元
BK0465,医药制造,600518,康美药业股份有限公司,sh,ST康美
BK0465,医药制造,688180,上海君实生物医药科技股份有限公司,sh,君实生物-U
BK0465,医药制造,688266,苏州泽璟生物制药股份有限公司,sh,泽璟制药-U
BK0465,医药制造,600276,江苏恒瑞医药股份有限公司,sh,恒瑞医药
BK0465,医药制造,300009,安徽安科生物工程(集团)股份有限公司,sz,安科生物
BK0465,医药制造,300601,深圳康泰生物制品股份有限公司,sz,康泰生物
BK0465,医药制造,300119,天津瑞普生物技术股份有限公司,sz,瑞普生物
BK0465,医药制造,002294,深圳信立泰药业股份有限公司,sz,信立泰
BK0465,医药制造,002019,亿帆医药股份有限公司,sz,亿帆医药
BK0465,医药制造,600211,西藏诺迪康药业股份有限公司,sh,西藏药业
BK0465,医药制造,600521,浙江华海药业股份有限公司,sh,华海药业
BK0465,医药制造,300676,深圳华大基因股份有限公司,sz,华大基因
BK0465,医药制造,300016,北京北陆药业股份有限公司,sz,北陆药业
BK0465,医药制造,000739,普洛药业股份有限公司,sz,普洛药业
BK0465,医药制造,002007,华兰生物工程股份有限公司,sz,华兰生物
BK0465,医药制造,300015,爱尔眼科医院集团股份有限公司,sz,爱尔眼科
BK0465,医药制造,300142,云南沃森生物技术股份有限公司,sz,沃森生物
